spin,label,empirical_probability,theoretical_probability,absolute_error,seed
1,17,0.0,0.02702702702702703,0.02702702702702703,20260913
2,17,0.0,0.02702702702702703,0.02702702702702703,20260913
3,17,0.0,0.02702702702702703,0.02702702702702703,20260913
4,17,0.0,0.02702702702702703,0.02702702702702703,20260913
5,17,0.0,0.02702702702702703,0.02702702702702703,20260913
6,17,0.0,0.02702702702702703,0.02702702702702703,20260913
7,17,0.0,0.02702702702702703,0.02702702702702703,20260913
8,17,0.0,0.02702702702702703,0.02702702702702703,20260913
9,17,0.0,0.02702702702702703,0.02702702702702703,20260913
10,17,0.0,0.02702702702702703,0.02702702702702703,20260913
11,17,0.0,0.02702702702702703,0.02702702702702703,20260913
12,17,0.0,0.02702702702702703,0.02702702702702703,20260913
13,17,0.0,0.02702702702702703,0.02702702702702703,20260913
14,17,0.0,0.02702702702702703,0.02702702702702703,20260913
15,17,0.0,0.02702702702702703,0.02702702702702703,20260913
16,17,0.0,0.02702702702702703,0.02702702702702703,20260913
17,17,0.0,0.02702702702702703,0.02702702702702703,20260913
18,17,0.0,0.02702702702702703,0.02702702702702703,20260913
19,17,0.0,0.02702702702702703,0.02702702702702703,20260913
20,17,0.0,0.02702702702702703,0.02702702702702703,20260913
21,17,0.0,0.02702702702702703,0.02702702702702703,20260913
22,17,0.0,0.02702702702702703,0.02702702702702703,20260913
23,17,0.0,0.02702702702702703,0.02702702702702703,20260913
24,17,0.0,0.02702702702702703,0.02702702702702703,20260913
25,17,0.0,0.02702702702702703,0.02702702702702703,20260913
26,17,0.0,0.02702702702702703,0.02702702702702703,20260913
27,17,0.0,0.02702702702702703,0.02702702702702703,20260913
28,17,0.0,0.02702702702702703,0.02702702702702703,20260913
29,17,0.0,0.02702702702702703,0.02702702702702703,20260913
30,17,0.0,0.02702702702702703,0.02702702702702703,20260913
31,17,0.0,0.02702702702702703,0.02702702702702703,20260913
32,17,0.0,0.02702702702702703,0.02702702702702703,20260913
33,17,0.0,0.02702702702702703,0.02702702702702703,20260913
34,17,0.0,0.02702702702702703,0.02702702702702703,20260913
35,17,0.0,0.02702702702702703,0.02702702702702703,20260913
36,17,0.0,0.02702702702702703,0.02702702702702703,20260913
37,17,0.0,0.02702702702702703,0.02702702702702703,20260913
38,17,0.0,0.02702702702702703,0.02702702702702703,20260913
39,17,0.0,0.02702702702702703,0.02702702702702703,20260913
40,17,0.0,0.02702702702702703,0.02702702702702703,20260913
41,17,0.0,0.02702702702702703,0.02702702702702703,20260913
42,17,0.0,0.02702702702702703,0.02702702702702703,20260913
43,17,0.0,0.02702702702702703,0.02702702702702703,20260913
44,17,0.0,0.02702702702702703,0.02702702702702703,20260913
45,17,0.0,0.02702702702702703,0.02702702702702703,20260913
46,17,0.0,0.02702702702702703,0.02702702702702703,20260913
47,17,0.0,0.02702702702702703,0.02702702702702703,20260913
48,17,0.0,0.02702702702702703,0.02702702702702703,20260913
49,17,0.0,0.02702702702702703,0.02702702702702703,20260913
50,17,0.0,0.02702702702702703,0.02702702702702703,20260913
51,17,0.0,0.02702702702702703,0.02702702702702703,20260913
52,17,0.0,0.02702702702702703,0.02702702702702703,20260913
53,17,0.0,0.02702702702702703,0.02702702702702703,20260913
54,17,0.0,0.02702702702702703,0.02702702702702703,20260913
55,17,0.0,0.02702702702702703,0.02702702702702703,20260913
56,17,0.017857142857142856,0.02702702702702703,0.009169884169884172,20260913
57,17,0.017543859649122806,0.02702702702702703,0.009483167377904222,20260913
58,17,0.017241379310344827,0.02702702702702703,0.009785647716682201,20260913
59,17,0.01694915254237288,0.02702702702702703,0.010077874484654147,20260913
60,17,0.016666666666666666,0.02702702702702703,0.010360360360360362,20260913
61,17,0.01639344262295082,0.02702702702702703,0.010633584404076208,20260913
62,17,0.016129032258064516,0.02702702702702703,0.010897994768962513,20260913
63,17,0.015873015873015872,0.02702702702702703,0.011154011154011156,20260913
