label,pocket_probability,estimated_power,monte_carlo_standard_error,spins,experiments,alpha,seed
17,0.02702702702702703,0.05266666666666667,0.004078107767453303,1000,3000,0.05,20261012
17,0.035,0.09466666666666666,0.005344931832708093,1000,3000,0.05,20261013
17,0.0425,0.27566666666666667,0.008158319997719212,1000,3000,0.05,20261014
17,0.05,0.5896666666666667,0.008980718027880415,1000,3000,0.05,20261015
17,0.0575,0.8736666666666667,0.006065564612966715,1000,3000,0.05,20261016
17,0.065,0.9746666666666667,0.0028688880282294943,1000,3000,0.05,20261017
17,0.07250000000000001,0.9986666666666667,0.0006662220739752173,1000,3000,0.05,20261018
17,0.08,0.9996666666666667,0.000333277773147358,1000,3000,0.05,20261019
