scenario,spin,target_hit,cumulative_hits,log_likelihood_ratio,e_value,e_value_threshold,first_crossing,fixed_horizon_p_value,null_probability,alternative_probability,alpha,seed,spins,evidence_contract
fair_null,39,0,1,-0.512597126255,0.598938039417,20,0,0.656497192225,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,40,0,1,-0.547073555785,0.578640694748,20,0,0.665781051895,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,41,0,1,-0.581549985315,0.559031204537,20,0,0.674813996438,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,42,0,1,-0.616026414845,0.540086258161,20,0,0.683602807345,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,43,0,1,-0.650502844375,0.521783334968,20,0,0.692154082822,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,44,0,1,-0.684979273905,0.504100677505,20,0,0.700474242746,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,45,0,1,-0.719455703435,0.487017265656,20,0,0.708569533483,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,46,0,1,-0.753932132965,0.470512791654,20,0,0.716446032578,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,47,0,1,-0.788408562495,0.454567635937,20,0,0.724109653319,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,48,0,1,-0.822884992025,0.43916284383,20,0,0.731566149175,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,49,0,1,-0.857361421555,0.424280103011,20,0,0.738821118116,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,50,0,1,-0.891837851084,0.409901721742,20,0,0.745880006816,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,51,0,1,-0.926314280614,0.396010607839,20,0,0.75274811474,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,52,0,1,-0.960790710144,0.382590248351,20,0,0.759430598125,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,53,0,1,-0.995267139674,0.369624689935,20,0,0.765932473852,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,54,0,1,-1.0297435692,0.357098519887,20,0,0.772258623207,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,55,0,1,-1.06421999873,0.344996847824,20,0,0.778413795553,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,56,0,1,-1.09869642826,0.333305287981,20,0,0.784402611889,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,57,0,1,-1.13317285779,0.322009942111,20,0,0.790229568325,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,58,0,1,-1.16764928732,0.311097382961,20,0,0.795899039451,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,59,0,1,-1.20212571685,0.300554638317,20,0,0.801415281628,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,60,0,1,-1.23660214638,0.290369175574,20,0,0.806782436179,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,61,0,1,-1.27107857591,0.280528886846,20,0,0.812004532498,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,62,0,1,-1.30555500544,0.271022074569,20,0,0.817085491079,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,63,0,1,-1.34003143497,0.261837437598,20,0,0.822029126455,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,64,0,1,-1.3745078645,0.252964057768,20,0,0.826839150065,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,65,0,1,-1.40898429403,0.244391386922,20,0,0.831519173036,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,66,0,1,-1.44346072356,0.236109234365,20,0,0.8360727089,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,67,0,1,-1.47793715309,0.228107754756,20,0,0.840503176227,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,68,0,1,-1.51241358262,0.2203774364,20,0,0.844813901194,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,69,0,1,-1.54689001215,0.212909089944,20,0,0.84900812008,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,70,0,1,-1.58136644168,0.205693837452,20,0,0.8530889817,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,71,0,1,-1.61584287121,0.198723101849,20,0,0.857059549762,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,72,0,1,-1.65031930074,0.191988596731,20,0,0.860922805174,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,73,0,1,-1.68479573027,0.185482316509,20,0,0.864681648277,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,74,0,1,-1.7192721598,0.179196526893,20,0,0.868338901027,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,75,0,1,-1.75374858933,0.173123755704,20,0,0.871897309107,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,76,0,1,-1.78822501886,0.167256783983,20,0,0.875359543996,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,77,0,1,-1.82270144839,0.161588637415,20,0,0.878728204969,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,78,0,1,-1.85717787792,0.156112578036,20,0,0.882005821051,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,79,0,1,-1.89165430745,0.150822096225,20,0,0.885194852914,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,80,0,1,-1.92613073698,0.145710902964,20,0,0.888297694727,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,81,0,1,-1.96060716651,0.140772922363,20,0,0.891316675951,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,82,0,1,-1.99508359604,0.136002284439,20,0,0.894254063088,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,83,0,1,-2.02956002557,0.131393318133,20,0,0.897112061382,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,84,0,1,-2.0640364551,0.126940544574,20,0,0.89989281648,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,85,0,1,-2.09851288463,0.122638670563,20,0,0.902598416035,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,86,0,1,-2.13298931416,0.118482582283,20,0,0.905230891277,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,87,0,1,-2.16746574369,0.114467339217,20,0,0.90779221854,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,88,0,1,-2.20194217322,0.110588168277,20,0,0.910284320742,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,89,0,1,-2.23641860275,0.10684045813,20,0,0.91270906883,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,90,0,1,-2.27089503228,0.103219753715,20,0,0.915068283186,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,91,1,2,-1.4733878364,0.229147853248,20,0,0.708477620664,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,92,0,2,-1.50786426593,0.22138228711,20,0,0.714123191321,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,93,0,2,-1.54234069546,0.21387988738,20,0,0.71967654149,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,94,0,2,-1.57681712499,0.206631735641,20,0,0.725138532196,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,95,0,2,-1.61129355452,0.199629215711,20,0,0.730510045289,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,96,0,2,-1.64576998405,0.192864003401,20,0,0.735791981682,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,97,0,2,-1.68024641358,0.186328056619,20,0,0.740985259683,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,98,0,2,-1.71472284311,0.180013605811,20,0,0.746090813394,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,99,0,2,-1.74919927264,0.173913144725,20,0,0.751109591185,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,100,0,2,-1.78367570217,0.168019421487,20,0,0.756042554242,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,101,0,2,-1.8181521317,0.162325429981,20,0,0.760890675183,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,102,0,2,-1.85262856123,0.156824401521,20,0,0.765654936735,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,103,0,2,-1.88710499076,0.151509796803,20,0,0.770336330479,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,104,0,2,-1.92158142029,0.146375298133,20,0,0.774935855651,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,105,0,2,-1.95605784982,0.141414801919,20,0,0.779454518008,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,106,0,2,-1.99053427935,0.136622411409,20,0,0.783893328744,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,107,0,2,-2.02501070888,0.131992429689,20,0,0.788253303459,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,108,0,2,-2.05948713841,0.127519352905,20,0,0.792535461186,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,109,0,2,-2.09396356794,0.123197863724,20,0,0.796740823459,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,110,0,2,-2.12843999747,0.119022825009,20,0,0.800870413439,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,111,0,2,-2.162916427,0.114989273717,20,0,0.804925255076,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
fair_null,112,0,2,-2.19739285653,0.111092414996,20,0,0.808906372319,0.027027027027,0.06,0.05,20261212,1000,simple_null_vs_simple_alternative
