pocket_probability,break_even_probability,full_kelly,half_kelly,quarter_kelly
0.02,0.027777777777777776,0.0,0.0,0.0
0.0225,0.027777777777777776,0.0,0.0,0.0
0.025,0.027777777777777776,0.0,0.0,0.0
0.02702702702702703,0.027777777777777776,0.0,0.0,0.0
0.0275,0.027777777777777776,0.0,0.0,0.0
0.027777777777777776,0.027777777777777776,0.0,0.0,0.0
0.03,0.027777777777777776,0.0022857142857142876,0.0011428571428571438,0.0005714285714285719
0.0325,0.027777777777777776,0.004857142857142855,0.0024285714285714275,0.0012142857142857138
0.035,0.027777777777777776,0.007428571428571432,0.003714285714285716,0.001857142857142858
0.037500000000000006,0.027777777777777776,0.010000000000000005,0.005000000000000003,0.0025000000000000014
0.04,0.027777777777777776,0.012571428571428575,0.006285714285714288,0.003142857142857144
0.042499999999999996,0.027777777777777776,0.015142857142857137,0.007571428571428568,0.003785714285714284
0.045,0.027777777777777776,0.017714285714285714,0.008857142857142857,0.004428571428571428
0.0475,0.027777777777777776,0.02028571428571429,0.010142857142857144,0.005071428571428572
0.05,0.027777777777777776,0.022857142857142857,0.011428571428571429,0.005714285714285714
0.052500000000000005,0.027777777777777776,0.025428571428571432,0.012714285714285716,0.006357142857142858
0.05500000000000001,0.027777777777777776,0.028000000000000008,0.014000000000000004,0.007000000000000002
0.057499999999999996,0.027777777777777776,0.030571428571428565,0.015285714285714283,0.007642857142857141
0.06,0.027777777777777776,0.03314285714285715,0.016571428571428574,0.008285714285714287
0.0625,0.027777777777777776,0.03571428571428571,0.017857142857142856,0.008928571428571428
0.065,0.027777777777777776,0.038285714285714284,0.019142857142857142,0.009571428571428571
0.0675,0.027777777777777776,0.04085714285714286,0.02042857142857143,0.010214285714285716
0.07,0.027777777777777776,0.043428571428571434,0.021714285714285717,0.010857142857142859
0.0725,0.027777777777777776,0.04599999999999999,0.022999999999999996,0.011499999999999998
0.075,0.027777777777777776,0.04857142857142857,0.024285714285714285,0.012142857142857143
0.0775,0.027777777777777776,0.05114285714285714,0.02557142857142857,0.012785714285714286
0.08,0.027777777777777776,0.05371428571428572,0.02685714285714286,0.01342857142857143
